Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
41,Patrick Beverley,PG,35,PHI,47,5,19.6,2.2,5.1,.432,0.7,2.3,.321,1.5,2.8,.523,.504,1.1,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3,beverpa01
41,Patrick Beverley,PG,35,MIL,7,0,15.4,1.6,4.7,.333,0.9,2.4,.353,0.7,2.3,.313,.424,0.1,0.3,.500,0.7,1.3,2.0,2.6,0.7,0.3,0.7,1.6,4.1,beverpa01
42,Saddiq Bey,SF,24,ATL,57,45,32.6,4.6,10.9,.421,1.8,5.6,.323,2.8,5.3,.527,.505,2.6,3.1,.837,2.6,3.9,6.5,1.4,0.8,0.1,0.8,1.4,13.6,beysa01
43,Goga Bitadze,C,24,ORL,49,32,17.8,2.3,3.9,.605,0.0,0.2,.167,2.3,3.6,.635,.611,1.0,1.5,.658,2.1,3.3,5.3,1.5,0.6,1.4,0.7,2.1,5.7,bitadgo01
44,Onuralp Bitim,SG,24,CHI,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitimon01
45,Bismack Biyombo,C,31,TOT,31,27,23.4,2.2,3.8,.563,0.0,0.0,,2.2,3.8,.563,.563,0.7,1.5,.478,1.8,4.4,6.2,1.6,0.3,1.1,1.3,2.7,5.0,biyombi01
45,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,biyombi01
45,Bismack Biyombo,C,31,OKC,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,biyombi01
46,Anthony Black,PG,20,ORL,54,31,18.6,1.8,3.8,.469,0.5,1.4,.373,1.3,2.4,.523,.536,0.9,1.3,.662,0.5,1.8,2.3,1.5,0.6,0.3,0.9,1.9,5.0,blackan01
47,Leaky Black,SF,24,CHO,22,3,9.9,0.8,1.8,.436,0.3,0.7,.467,0.5,1.1,.417,.526,0.4,0.6,.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3,blackle01
